Date,CummMTM,MTM,TransactionCost,SlippageCost,TodayMargin,TotalMargin,OvnVaR_DownWorst,OvnVaR_UpWorst,OvnProb_Down%,OvnProb_Up%
01-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
04-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
05-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
06-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
07-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
08-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
11-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
12-01-2021 00:00:00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0
13-01-2021 00:00:00,-926.25,-949.75,11.52,11.98,0,0.00,0,0,0,0
14-01-2021 00:00:00,-926.25,0.00,0.00,0.00,0,0.00,0,0,0,0
15-01-2021 00:00:00,-926.25,0.00,0.00,0.00,0,0.00,0,0,0,0
18-01-2021 00:00:00,-926.25,0.00,0.00,0.00,0,0.00,0,0,0,0
19-01-2021 00:00:00,-926.25,0.00,0.00,0.00,0,0.00,0,0,0,0
20-01-2021 00:00:00,-221.25,694.02,5.24,5.74,66000,66000.00,-23486.25,0,1.02,0
21-01-2021 00:00:00,1008.75,1212.97,9.25,7.78,-66000,0.00,0,0,0,0
22-01-2021 00:00:00,1008.75,0.00,0.00,0.00,0,0.00,0,0,0,0
25-01-2021 00:00:00,1635.00,613.80,6.47,5.98,66000,66000.00,0,-21011.25,0,13.22
27-01-2021 00:00:00,4807.50,3153.56,9.87,9.06,73000,139000.00,0,-48708.75,0,6.08
28-01-2021 00:00:00,11985.00,7153.11,14.64,9.76,0,139000.00,0,-42078.75,0,1.89
29-01-2021 00:00:00,11583.75,-408.22,3.04,3.93,-139000,0.00,0,0,0,0
01-02-2021 00:00:00,11583.75,0.00,0.00,0.00,0,0.00,0,0,0,0
02-02-2021 00:00:00,10496.25,-1108.08,10.02,10.56,0,0.00,0,0,0,0
03-02-2021 00:00:00,13773.75,3251.22,14.01,12.27,66000,66000.00,-21153.75,0,3.70,0
04-02-2021 00:00:00,14073.75,298.63,0.82,0.55,0,66000.00,-20763.75,0,0.96,0
05-02-2021 00:00:00,14043.75,-30.00,0.00,0.00,0,66000.00,-20688.75,0,0.35,0
08-02-2021 00:00:00,14430.00,386.25,0.00,0.00,0,66000.00,-21037.50,0,15.59,0
09-02-2021 00:00:00,14467.50,37.50,0.00,0.00,0,66000.00,-22035.00,0,11.47,0
10-02-2021 00:00:00,14463.75,-4.23,0.23,0.26,-66000,0.00,0,0,0,0
11-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
12-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
15-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
16-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
17-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
18-02-2021 00:00:00,14463.75,0.00,0.00,0.00,0,0.00,0,0,0,0
19-02-2021 00:00:00,14130.00,-343.75,5.27,4.74,59000,59000.00,0,-13571.25,0,0.12
22-02-2021 00:00:00,15397.50,1267.50,0.00,0.00,0,59000.00,0,-14835.00,0,32.32
23-02-2021 00:00:00,15296.25,-102.43,0.53,0.65,-59000,0.00,0,0,0,0
24-02-2021 00:00:00,15296.25,0.00,0.00,0.00,0,0.00,0,0,0,0
25-02-2021 00:00:00,14808.75,-503.87,8.31,8.06,66000,66000.00,-21221.25,0,0.85,0
26-02-2021 00:00:00,11501.25,-3325.95,8.16,10.30,-66000,0.00,0,0,0,0
01-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
02-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
03-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
04-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
05-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
08-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
09-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
10-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
12-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
15-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
16-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
17-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
18-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
19-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
22-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
23-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
24-03-2021 00:00:00,11501.25,0.00,0.00,0.00,0,0.00,0,0,0,0
25-03-2021 00:00:00,13305.00,1759.08,23.12,21.55,66000,66000.00,0,-20921.25,0,0.63
26-03-2021 00:00:00,11910.00,-1405.60,4.61,5.98,-66000,0.00,0,0,0,0
30-03-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
31-03-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
01-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
05-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
06-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
07-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
08-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
09-04-2021 00:00:00,11910.00,0.00,0.00,0.00,0,0.00,0,0,0,0
12-04-2021 00:00:00,12273.75,354.38,4.83,4.55,66000,66000.00,0,-21311.25,0,9.29
13-04-2021 00:00:00,12303.75,24.46,2.73,2.82,-66000,0.00,0,0,0,0
15-04-2021 00:00:00,11156.25,-1166.25,9.09,9.66,0,0.00,0,0,0,0
16-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
19-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
20-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
22-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
23-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
26-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
27-04-2021 00:00:00,11156.25,0.00,0.00,0.00,0,0.00,0,0,0,0
28-04-2021 00:00:00,10766.25,-405.35,7.41,7.94,66000,66000.00,-22548.75,0,2.25,0
29-04-2021 00:00:00,14940.00,4151.89,11.72,10.14,-66000,0.00,-1612.50,0,1.06,0
30-04-2021 00:00:00,14152.50,-789.71,1.33,0.89,0,0.00,0,0,0,0
03-05-2021 00:00:00,13046.25,-1121.51,7.36,7.91,0,0.00,0,0,0,0
04-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
05-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
06-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
07-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
10-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
11-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
12-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
14-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
17-05-2021 00:00:00,13046.25,0.00,0.00,0.00,0,0.00,0,0,0,0
18-05-2021 00:00:00,13016.25,-43.45,7.07,6.38,66000,66000.00,-20790.00,0,0.45,0
19-05-2021 00:00:00,12641.25,-375.00,0.00,0.00,0,66000.00,-20553.75,0,0.20,0
20-05-2021 00:00:00,12461.25,-186.76,2.89,3.87,-66000,0.00,0,0,0,0
21-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0.00,0,0,0,0
24-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0.00,0,0,0,0
25-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0.00,0,0,0,0
26-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0.00,0,0,0,0
27-05-2021 00:00:00,12461.25,0.00,0.00,0.00,0,0.00,0,0,0,0
28-05-2021 00:00:00,12813.75,337.71,7.82,6.97,132000,132000.00,-43571.25,0,0.00,0
31-05-2021 00:00:00,13837.50,1022.82,0.56,0.37,0,132000.00,-44287.50,0,0.21,0
01-06-2021 00:00:00,14231.25,383.00,5.60,5.15,66000,198000.00,-66120.00,0,0.07,0
02-06-2021 00:00:00,14651.25,420.00,0.00,0.00,0,198000.00,-66577.50,0,0.01,0
03-06-2021 00:00:00,15135.00,483.75,0.00,0.00,-132000,66000.00,-22087.50,0,0.00,0
04-06-2021 00:00:00,15532.50,388.42,4.87,4.21,66000,132000.00,-43702.50,0,0.00,0
07-06-2021 00:00:00,16312.50,780.00,0.00,0.00,0,132000.00,-44523.75,0,0.02,0
08-06-2021 00:00:00,16481.25,168.75,0.00,0.00,0,132000.00,-44696.25,0,0.00,0
09-06-2021 00:00:00,16233.75,-249.53,0.88,1.15,-132000,0.00,0,0,0,0
10-06-2021 00:00:00,16233.75,0.00,0.00,0.00,0,0.00,0,0,0,0
11-06-2021 00:00:00,16293.75,51.76,4.32,3.92,66000,66000.00,-21742.50,0,0.00,0
14-06-2021 00:00:00,14988.75,-1311.57,2.77,3.80,-66000,0.00,0,0,0,0
15-06-2021 00:00:00,14838.75,-157.89,3.97,3.92,66000,66000.00,-22102.50,0,0.00,0
16-06-2021 00:00:00,14156.25,-684.17,1.00,0.67,0,66000.00,-20850.00,0,0.00,0
17-06-2021 00:00:00,13826.25,-361.69,15.86,15.83,52000,118000.00,0,-27952.50,0,0.00
18-06-2021 00:00:00,14538.75,693.49,9.18,9.83,-118000,0.00,0,0,0,0
21-06-2021 00:00:00,14538.75,0.00,0.00,0.00,0,0.00,0,0,0,0
22-06-2021 00:00:00,14538.75,0.00,0.00,0.00,0,0.00,0,0,0,0
23-06-2021 00:00:00,14842.50,294.63,4.21,4.91,66000,66000.00,0,-24131.25,0,0.00
24-06-2021 00:00:00,13653.75,-1193.22,2.68,1.79,0,66000.00,0,-21191.25,0,0.00
25-06-2021 00:00:00,14193.75,540.00,0.00,0.00,0,66000.00,0,-21727.50,0,0.00
28-06-2021 00:00:00,14066.25,-129.48,0.77,1.21,-66000,0.00,0,0,0,0
29-06-2021 00:00:00,14066.25,0.00,0.00,0.00,0,0.00,0,0,0,0
30-06-2021 00:00:00,14066.25,0.00,0.00,0.00,0,0.00,0,0,0,0
01-07-2021 00:00:00,14066.25,0.00,0.00,0.00,0,0.00,0,0,0,0
02-07-2021 00:00:00,14066.25,0.00,0.00,0.00,0,0.00,0,0,0,0
05-07-2021 00:00:00,14066.25,0.00,0.00,0.00,0,0.00,0,0,0,0
06-07-2021 00:00:00,13368.75,-704.44,3.61,3.33,66000,66000.00,-21176.25,0,0.00,0
07-07-2021 00:00:00,14055.00,684.66,0.96,0.64,0,66000.00,-21277.50,0,0.00,0
08-07-2021 00:00:00,13076.25,-995.21,7.69,8.77,0,66000.00,0,-22443.75,0,0.00
09-07-2021 00:00:00,13380.00,301.55,1.32,0.88,0,66000.00,0,-21858.75,0,0.00
12-07-2021 00:00:00,13785.00,405.00,0.00,0.00,0,66000.00,0,-22297.50,0,0.00
13-07-2021 00:00:00,13792.50,-0.04,3.77,3.77,66000,132000.00,-22222.50,-3397.50,0.00,400.55
14-07-2021 00:00:00,14088.75,293.21,1.72,1.32,-66000,66000.00,-21772.50,0,0.00,0
15-07-2021 00:00:00,14373.75,285.00,0.00,0.00,0,66000.00,-22061.25,0,0.00,0
16-07-2021 00:00:00,14550.00,176.25,0.00,0.00,0,66000.00,-22245.00,0,0.00,0
19-07-2021 00:00:00,14430.00,-136.32,8.27,8.05,59000,125000.00,0,-36618.75,0,0.00
20-07-2021 00:00:00,16301.25,1864.10,3.68,3.47,66000,191000.00,0,-60476.25,0,0.00
22-07-2021 00:00:00,14647.50,-1664.70,5.22,5.73,-191000,0.00,0,0,0,0
23-07-2021 00:00:00,14647.50,0.00,0.00,0.00,0,0.00,0,0,0,0
26-07-2021 00:00:00,14647.50,0.00,0.00,0.00,0,0.00,0,0,0,0
27-07-2021 00:00:00,14737.50,88.50,0.50,1.00,0,0.00,0,-1087.50,0,0.00
28-07-2021 00:00:00,15498.75,739.34,11.77,10.14,66000,66000.00,0,-21060.00,0,0.00
29-07-2021 00:00:00,15390.00,-112.20,1.35,2.11,-66000,0.00,0,0,0,0
30-07-2021 00:00:00,15390.00,0.00,0.00,0.00,0,0.00,0,0,0,0
02-08-2021 00:00:00,15390.00,0.00,0.00,0.00,0,0.00,0,0,0,0
03-08-2021 00:00:00,15847.50,447.81,5.00,4.69,73000,73000.00,-29707.50,0,0.00,0
04-08-2021 00:00:00,16631.25,771.25,6.41,6.10,73000,146000.00,-59846.25,0,0.00,0
05-08-2021 00:00:00,18427.50,1789.21,4.22,2.82,0,146000.00,-58916.25,0,0.00,0
06-08-2021 00:00:00,19136.25,699.37,4.98,4.40,66000,212000.00,-81011.25,0,0.00,0
09-08-2021 00:00:00,19616.25,480.00,0.00,0.00,0,212000.00,-81528.75,0,0.00,0
10-08-2021 00:00:00,20036.25,420.00,0.00,0.00,0,212000.00,-81948.75,0,0.00,0
11-08-2021 00:00:00,20343.75,307.50,0.00,0.00,0,212000.00,-82256.25,0,0.00,0
12-08-2021 00:00:00,20587.50,243.75,0.00,0.00,-212000,0.00,0,0,0,0
13-08-2021 00:00:00,21783.75,1190.24,3.19,2.82,66000,66000.00,-22946.25,0,0.00,0
16-08-2021 00:00:00,21776.25,-7.50,0.00,0.00,0,66000.00,-22942.50,0,0.00,0
17-08-2021 00:00:00,21498.75,-286.13,4.34,4.29,80000,146000.00,-59921.25,0,0.00,0
18-08-2021 00:00:00,21367.50,-133.88,1.58,1.05,-66000,80000.00,-36356.25,0,0.00,0
20-08-2021 00:00:00,19458.75,-1915.97,2.86,4.36,-80000,0.00,0,0,0,0
23-08-2021 00:00:00,19458.75,0.00,0.00,0.00,0,0.00,0,0,0,0
24-08-2021 00:00:00,19983.75,518.49,3.36,3.15,73000,73000.00,-29970.00,0,0.00,0
25-08-2021 00:00:00,19252.50,-746.78,7.69,7.84,66000,139000.00,-52050.00,0,0.00,0
26-08-2021 00:00:00,19012.50,-241.45,0.87,0.58,0,139000.00,-51300.00,0,0.00,0
27-08-2021 00:00:00,19582.50,570.00,0.00,0.00,0,139000.00,-51892.50,0,0.00,0
30-08-2021 00:00:00,20951.25,1361.68,3.60,3.47,73000,212000.00,-82818.75,0,0.00,0
31-08-2021 00:00:00,22530.00,1569.42,5.14,4.19,0,212000.00,-82327.50,0,0.00,0
01-09-2021 00:00:00,22642.50,110.21,1.37,0.92,0,212000.00,-81780.00,0,0.00,0
02-09-2021 00:00:00,23002.50,360.00,0.00,0.00,-139000,73000.00,-29531.25,0,0.00,0
03-09-2021 00:00:00,23242.50,230.22,5.21,4.57,66000,139000.00,-50906.25,0,0.00,0
06-09-2021 00:00:00,23955.00,712.50,0.00,0.00,0,139000.00,-51911.25,0,0.01,0
07-09-2021 00:00:00,24123.75,168.75,0.00,0.00,0,139000.00,-52136.25,0,0.00,0
08-09-2021 00:00:00,24375.00,251.25,0.00,0.00,0,139000.00,-52387.50,0,0.00,0
09-09-2021 00:00:00,24487.50,112.50,0.00,0.00,-139000,0.00,0,0,0,0
13-09-2021 00:00:00,24487.50,0.00,0.00,0.00,0,0.00,0,0,0,0
14-09-2021 00:00:00,24431.25,-65.80,4.97,4.58,66000,66000.00,-21630.00,0,0.00,0
15-09-2021 00:00:00,28380.00,3938.85,4.53,5.37,66000,132000.00,-49695.00,0,0.00,0
16-09-2021 00:00:00,31275.00,2873.32,13.01,8.67,0,132000.00,-43950.00,0,0.00,0
17-09-2021 00:00:00,30172.50,-1123.85,10.15,11.19,-132000,0.00,0,0,0,0
20-09-2021 00:00:00,30172.50,0.00,0.00,0.00,0,0.00,0,0,0,0
21-09-2021 00:00:00,30172.50,0.00,0.00,0.00,0,0.00,0,0,0,0
22-09-2021 00:00:00,29625.00,-565.70,9.32,8.88,73000,73000.00,-28462.50,0,0.01,0
23-09-2021 00:00:00,36153.75,6506.81,11.66,10.27,73000,146000.00,-61901.25,0,0.00,0
24-09-2021 00:00:00,37916.25,1742.25,11.50,8.75,66000,212000.00,-80775.00,0,0.00,0
27-09-2021 00:00:00,38786.25,870.00,0.00,0.00,0,212000.00,-81937.50,0,0.46,0
28-09-2021 00:00:00,38628.75,-159.04,0.59,0.95,-212000,0.00,0,0,0,0
29-09-2021 00:00:00,38628.75,0.00,0.00,0.00,0,0.00,0,0,0,0
30-09-2021 00:00:00,38628.75,0.00,0.00,0.00,0,0.00,0,0,0,0
01-10-2021 00:00:00,38628.75,0.00,0.00,0.00,0,0.00,0,0,0,0
04-10-2021 00:00:00,38733.75,95.06,5.21,4.73,66000,66000.00,-21453.75,0,0.11,0
05-10-2021 00:00:00,39176.25,442.50,0.00,0.00,0,66000.00,-21855.00,0,0.03,0
06-10-2021 00:00:00,38351.25,-830.16,2.28,2.89,-66000,0.00,0,0,0,0
07-10-2021 00:00:00,38351.25,0.00,0.00,0.00,0,0.00,0,0,0,0
08-10-2021 00:00:00,38351.25,0.00,0.00,0.00,0,0.00,0,0,0,0
11-10-2021 00:00:00,38351.25,0.00,0.00,0.00,0,0.00,0,0,0,0
12-10-2021 00:00:00,38351.25,0.00,0.00,0.00,0,0.00,0,0,0,0
13-10-2021 00:00:00,42438.75,4065.92,11.66,9.92,66000,66000.00,-22957.50,0,0.00,0
14-10-2021 00:00:00,44235.00,1785.04,4.98,6.23,66000,132000.00,-46770.00,0,0.00,0
18-10-2021 00:00:00,49068.75,4804.94,16.28,12.53,73000,205000.00,-73856.25,0,0.20,0
19-10-2021 00:00:00,48371.25,-699.44,1.16,0.78,0,205000.00,-72615.00,0,0.08,0
20-10-2021 00:00:00,47823.75,-561.76,6.45,7.81,-205000,0.00,0,0,0,0
21-10-2021 00:00:00,47823.75,0.00,0.00,0.00,0,0.00,0,0,0,0
22-10-2021 00:00:00,46893.75,-943.29,6.41,6.88,0,0.00,0,0,0,0
25-10-2021 00:00:00,45097.50,-1820.44,11.65,12.54,0,0.00,0,0,0,0
26-10-2021 00:00:00,45097.50,0.00,0.00,0.00,0,0.00,0,0,0,0
27-10-2021 00:00:00,45097.50,0.00,0.00,0.00,0,0.00,0,0,0,0
28-10-2021 00:00:00,46117.50,1006.46,6.55,6.99,66000,66000.00,0,-21570.00,0,0.00
29-10-2021 00:00:00,49102.50,2953.53,16.65,14.82,59000,125000.00,0,-35895.00,0,0.00
01-11-2021 00:00:00,48502.50,-605.33,2.12,3.21,-125000,0.00,0,0,0,0
02-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
03-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
08-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
09-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
10-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
11-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
12-11-2021 00:00:00,48502.50,0.00,0.00,0.00,0,0.00,0,0,0,0
15-11-2021 00:00:00,47801.25,-712.39,5.89,5.25,66000,66000.00,-20441.25,0,0.02,0
16-11-2021 00:00:00,47107.50,-704.64,4.78,6.12,-66000,0.00,0,0,0,0
17-11-2021 00:00:00,46927.50,-190.04,4.66,5.39,66000,66000.00,0,-23737.50,0,0.00
18-11-2021 00:00:00,49680.00,2729.57,12.71,10.22,66000,132000.00,0,-43976.25,0,0.00
22-11-2021 00:00:00,52672.50,2978.20,7.87,6.44,66000,198000.00,0,-66292.50,0,0.31
23-11-2021 00:00:00,52901.25,224.47,2.00,2.28,-198000,0.00,0,0,0,0
24-11-2021 00:00:00,52901.25,0.00,0.00,0.00,0,0.00,0,0,0,0
25-11-2021 00:00:00,51322.50,-1597.50,8.98,9.77,0,0.00,0,0,0,0
26-11-2021 00:00:00,54772.50,3427.97,11.93,10.10,125000,125000.00,0,-37143.75,0,0.06
29-11-2021 00:00:00,54176.25,-618.30,10.99,11.06,-59000,66000.00,0,-21386.25,0,4.87
30-11-2021 00:00:00,53655.00,-532.42,5.22,5.96,0,66000.00,0,-22432.50,0,2.73
01-12-2021 00:00:00,52387.50,-1275.13,3.57,4.05,-66000,0.00,0,0,0,0
02-12-2021 00:00:00,52387.50,0.00,0.00,0.00,0,0.00,0,0,0,0
03-12-2021 00:00:00,52387.50,0.00,0.00,0.00,0,0.00,0,0,0,0
06-12-2021 00:00:00,53017.50,619.43,5.61,4.96,66000,66000.00,0,-21138.75,0,2.83
07-12-2021 00:00:00,52683.75,-337.51,1.63,2.13,-66000,0.00,0,0,0,0
08-12-2021 00:00:00,52683.75,0.00,0.00,0.00,0,0.00,0,0,0,0
09-12-2021 00:00:00,52908.75,211.77,6.92,6.32,66000,66000.00,-21472.50,0,0.00,0
10-12-2021 00:00:00,52995.00,86.25,0.00,0.00,0,66000.00,-21588.75,0,0.00,0
13-12-2021 00:00:00,52845.00,-153.36,1.42,1.94,-66000,0.00,0,0,0,0
14-12-2021 00:00:00,52511.25,-343.87,5.39,4.73,66000,66000.00,0,-20737.50,0,0.06
15-12-2021 00:00:00,53126.25,615.00,0.00,0.00,0,66000.00,0,-21326.25,0,0.03
16-12-2021 00:00:00,53628.75,502.50,0.00,0.00,0,66000.00,0,-21907.50,0,0.00
17-12-2021 00:00:00,54041.25,412.50,0.00,0.00,0,66000.00,0,-22226.25,0,0.00
20-12-2021 00:00:00,54442.50,385.70,7.57,7.98,-66000,0.00,-566.25,-1095.00,2266.26,1.08
21-12-2021 00:00:00,54007.50,-436.66,1.00,0.66,0,0.00,0,0,0,0
22-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
23-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
24-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
27-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
28-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
29-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
30-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
31-12-2021 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
03-01-2022 00:00:00,54007.50,0.00,0.00,0.00,0,0.00,0,0,0,0
04-01-2022 00:00:00,55293.75,1277.41,4.48,4.36,66000,66000.00,-23257.50,0,0.01,0
05-01-2022 00:00:00,61425.00,6097.58,18.62,15.06,66000,132000.00,-44561.25,0,0.02,0
06-01-2022 00:00:00,59512.50,-1926.80,6.68,7.62,-132000,0.00,0,0,0,0
07-01-2022 00:00:00,59512.50,0.00,0.00,0.00,0,0.00,0,0,0,0
10-01-2022 00:00:00,59482.50,-39.21,4.78,4.43,73000,73000.00,-28732.50,0,0.24,0
11-01-2022 00:00:00,59820.00,337.50,0.00,0.00,0,73000.00,-29103.75,0,0.13,0
12-01-2022 00:00:00,61282.50,1451.87,5.06,5.57,66000,139000.00,-53902.50,0,0.02,0
13-01-2022 00:00:00,61166.25,-120.15,2.34,1.56,0,139000.00,-52410.00,0,0.00,0
14-01-2022 00:00:00,60663.75,-503.92,0.85,0.57,0,139000.00,-51585.00,0,0.00,0
17-01-2022 00:00:00,61110.00,446.25,0.00,0.00,0,139000.00,-52263.75,0,0.11,0
18-01-2022 00:00:00,60922.50,-188.72,0.51,0.71,-139000,0.00,0,0,0,0
19-01-2022 00:00:00,60922.50,-8.69,4.07,4.63,66000,66000.00,0,-23493.75,0,0.05
20-01-2022 00:00:00,64740.00,3776.77,22.10,18.63,125000,191000.00,0,-57708.75,0,0.00
21-01-2022 00:00:00,66131.25,1391.25,0.00,0.00,0,191000.00,0,-58957.50,0,0.00
