number,value,datetime_start,datetime_complete,duration,params_PBMultDT0,params_PremiumDT0,params_SLPctDT0,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
0,0.3703966471358243,2026-03-05 17:16:20.804164,2026-03-05 17:17:09.436629,0 days 00:00:48.632465,2.0,10,0,16.8620208166909,316.0,1.13263053862626,0.0386001505681579,15097.5,0.259493670886076,COMPLETE
1,0.48575210390973445,2026-03-05 17:17:09.437088,2026-03-05 17:18:13.541513,0 days 00:01:04.104425,1.5,18,10,11.6771125232611,443.0,1.36760835234252,0.0740813649112289,31425.0,0.18510158013544,COMPLETE
2,0.4215210732980778,2026-03-05 17:18:13.542090,2026-03-05 17:19:08.538938,0 days 00:00:54.996848,3.0,10,20,12.160844647234601,404.0,1.24950099800399,0.0512511708612859,21093.75,0.111386138613861,COMPLETE
3,0.30996629720671964,2026-03-05 17:19:08.539270,2026-03-05 17:20:03.918267,0 days 00:00:55.378997,2.5,25,0,35.627123737488695,310.0,1.04897859648464,0.016059879118203,9791.24999999971,0.251612903225806,COMPLETE
4,0.3424604746026003,2026-03-05 17:20:03.918668,2026-03-05 17:20:53.983278,0 days 00:00:50.064610,1.5,10,0,21.037889141118598,336.0,1.09930541228251,0.0278682032180423,10830.0,0.31547619047619,COMPLETE
5,0.2053693745240001,2026-03-05 17:20:53.983600,2026-03-05 17:21:43.290783,0 days 00:00:49.307183,3.0,25,0,43.8475179783564,298.0,0.946725718555779,-0.0181112530219961,-10961.2500000003,0.218120805369128,COMPLETE
6,0.4886818557474552,2026-03-05 17:21:43.291502,2026-03-05 17:22:45.653752,0 days 00:01:02.362250,2.0,10,30,9.69501367451479,399.0,1.36348336426013,0.0773036164248599,31586.25,0.182957393483709,COMPLETE
7,0.4309010188141009,2026-03-05 17:22:45.654236,2026-03-05 17:23:54.622899,0 days 00:01:08.968663,3.0,22,30,17.1180261069507,379.0,1.21332416795555,0.0539105283248541,27930.0,0.153034300791557,COMPLETE
8,0.4788179096211968,2026-03-05 17:23:54.623314,2026-03-05 17:24:54.468745,0 days 00:00:59.845431,2.0,10,10,9.53040991850316,433.0,1.38301568647489,0.0685379556118049,28110.0,0.131639722863741,COMPLETE
9,0.4996041447036704,2026-03-05 17:24:54.469081,2026-03-05 17:25:51.836252,0 days 00:00:57.367171,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
10,0.4996041447036704,2026-03-05 17:25:51.836563,2026-03-05 17:26:49.890216,0 days 00:00:58.053653,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
11,0.4996041447036704,2026-03-05 17:26:49.890534,2026-03-05 17:27:48.948664,0 days 00:00:59.058130,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
12,0.4996041447036704,2026-03-05 17:27:48.948972,2026-03-05 17:28:47.189078,0 days 00:00:58.240106,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
13,0.4996041447036704,2026-03-05 17:28:47.189395,2026-03-05 17:29:46.029902,0 days 00:00:58.840507,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
14,0.4913654897629872,2026-03-05 17:29:46.030261,2026-03-05 17:30:45.505749,0 days 00:00:59.475488,2.5,15,20,11.3262908458957,406.0,1.35903633873177,0.0765612821563222,33420.0,0.140394088669951,COMPLETE
15,0.4996041447036704,2026-03-05 17:30:45.506067,2026-03-05 17:31:43.054431,0 days 00:00:57.548364,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
16,0.46082731918215325,2026-03-05 17:31:43.054820,2026-03-05 17:32:43.330615,0 days 00:01:00.275795,2.5,18,30,11.826765896279099,391.0,1.26647026449545,0.0669032054483558,30866.25,0.161125319693095,COMPLETE
17,0.4813492254107039,2026-03-05 17:32:43.330992,2026-03-05 17:33:45.449102,0 days 00:01:02.118110,2.5,22,30,13.4026242198767,391.0,1.28313235422932,0.0725853219617915,36363.75,0.173913043478261,COMPLETE
18,0.4885365731301037,2026-03-05 17:33:45.449424,2026-03-05 17:34:45.928777,0 days 00:01:00.479353,1.5,15,10,10.7704086105488,443.0,1.3877840238084,0.0734973174474311,30783.75,0.178329571106095,COMPLETE
19,0.4913654897629872,2026-03-05 17:34:45.929095,2026-03-05 17:35:45.523357,0 days 00:00:59.594262,2.5,15,20,11.3262908458957,406.0,1.35903633873177,0.0765612821563222,33420.0,0.140394088669951,COMPLETE
20,0.4996041447036704,2026-03-05 17:35:45.523662,2026-03-05 17:36:44.110410,0 days 00:00:58.586748,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
21,0.4996041447036704,2026-03-05 17:36:44.110829,2026-03-05 17:37:43.167608,0 days 00:00:59.056779,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
22,0.4996041447036704,2026-03-05 17:37:43.167918,2026-03-05 17:38:41.901816,0 days 00:00:58.733898,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
23,0.4996041447036704,2026-03-05 17:38:41.902119,2026-03-05 17:39:41.027927,0 days 00:00:59.125808,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
24,0.46082731918215325,2026-03-05 17:39:41.028320,2026-03-05 17:40:40.936065,0 days 00:00:59.907745,2.5,18,30,11.826765896279099,391.0,1.26647026449545,0.0669032054483558,30866.25,0.161125319693095,COMPLETE
25,0.4813492254107039,2026-03-05 17:40:40.936448,2026-03-05 17:41:43.508128,0 days 00:01:02.571680,2.5,22,30,13.4026242198767,391.0,1.28313235422932,0.0725853219617915,36363.75,0.173913043478261,COMPLETE
26,0.48629314380919175,2026-03-05 17:41:43.508436,2026-03-05 17:42:42.626232,0 days 00:00:59.117796,2.0,15,30,10.890048861389,395.0,1.33224437685404,0.0779857932494318,33180.0,0.187341772151899,COMPLETE
27,0.47809432324324214,2026-03-05 17:42:42.626561,2026-03-05 17:43:49.761296,0 days 00:01:07.134735,1.5,25,10,11.542501557677399,442.0,1.31879543094496,0.0729318465298188,32235.0,0.18552036199095,COMPLETE
28,0.4536559813499711,2026-03-05 17:43:49.761657,2026-03-05 17:44:49.579728,0 days 00:00:59.818071,3.0,15,20,13.085991158620299,398.0,1.29165189299925,0.0628196097718534,27761.25,0.120603015075377,COMPLETE
29,0.33652273353156265,2026-03-05 17:44:49.580042,2026-03-05 17:45:42.793564,0 days 00:00:53.213522,2.0,15,0,17.2111262682038,311.0,1.07271537979341,0.0229394596027111,10005.0,0.263665594855305,COMPLETE
30,0.4996041447036704,2026-03-05 17:45:42.793873,2026-03-05 17:46:41.262682,0 days 00:00:58.468809,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
31,0.4996041447036704,2026-03-05 17:46:41.262993,2026-03-05 17:47:40.792018,0 days 00:00:59.529025,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
32,0.4996041447036704,2026-03-05 17:47:40.792343,2026-03-05 17:48:40.703176,0 days 00:00:59.910833,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
33,0.46082731918215325,2026-03-05 17:48:40.703587,2026-03-05 17:49:41.027925,0 days 00:01:00.324338,2.5,18,30,11.826765896279099,391.0,1.26647026449545,0.0669032054483558,30866.25,0.161125319693095,COMPLETE
34,0.4996041447036704,2026-03-05 17:49:41.028226,2026-03-05 17:50:40.402073,0 days 00:00:59.373847,2.5,15,30,11.8242040386043,387.0,1.35281829509639,0.0814023493074918,36101.25,0.160206718346253,COMPLETE
35,0.47809432324324214,2026-03-05 17:50:40.402378,2026-03-05 17:51:46.797778,0 days 00:01:06.395400,1.5,25,10,11.542501557677399,442.0,1.31879543094496,0.0729318465298188,32235.0,0.18552036199095,COMPLETE
36,0.31557401436350313,2026-03-05 17:51:46.798099,2026-03-05 17:52:34.633208,0 days 00:00:47.835109,3.0,15,0,20.0729344069512,297.0,1.04702803544592,0.0145564792031758,6806.25,0.202020202020202,COMPLETE
37,0.5483742185799343,2026-03-05 17:52:34.633585,2026-03-05 17:53:37.632793,0 days 00:01:02.999208,2.5,22,20,13.811455220960301,401.0,1.42057871307163,0.0944279529664213,46766.25,0.1571072319202,COMPLETE
38,0.5483742185799343,2026-03-05 17:53:37.633167,2026-03-05 17:54:41.480111,0 days 00:01:03.846944,2.5,22,20,13.811455220960301,401.0,1.42057871307163,0.0944279529664213,46766.25,0.1571072319202,COMPLETE
39,0.49676711976233284,2026-03-05 17:54:41.480464,2026-03-05 17:55:45.437621,0 days 00:01:03.957157,3.0,22,20,14.246824238766202,390.0,1.33485298975884,0.0750333651233277,38010.0,0.138461538461538,COMPLETE
